Id,SalesAuditId,Pnr,TicketNo,TicketPcc,BookingPcc,TicketMarket,BookingMarket,IsCrossBorder,ChangedSegmentCount,IsChangedSegment,MarriedSegmentCount,IsMarriedSegment,RiskScore,Remarks,CreatedDate
1,NULL,DHYSUW,NULL,DCVZ,,,,0,0,0,0,0,0,,"2026-08-06 09:29:49"
2,NULL,JYASGJ,NULL,BOMHKG,,,,0,0,0,0,0,0,,"2026-08-06 09:29:50"
3,NULL,DITTLE,NULL,DCAI,,,,0,0,0,0,0,0,,"2026-08-06 09:29:52"
4,NULL,AZOKPF,NULL,DCJ2,,,,0,0,0,0,0,0,,"2026-08-06 09:29:53"
5,NULL,DHNZCW,NULL,DCTG,,,,0,0,0,0,0,0,,"2026-08-06 09:29:54"
6,NULL,DLITVL,NULL,NRTSIN,,,,0,0,0,0,0,0,,"2026-08-06 09:29:56"
7,NULL,WRJWOT,NULL,DCAI,,,,0,0,0,0,0,0,,"2026-08-06 09:29:57"
8,NULL,IAOVXL,NULL,TRVDEL,,,,0,0,0,0,0,0,,"2026-08-06 09:29:59"
9,NULL,AZPHXL,NULL,PVGBKK,,,,0,0,0,0,0,0,,"2026-08-06 09:30:00"
10,NULL,DIJYAN,NULL,MAAAUH,,,,0,0,0,0,0,0,,"2026-08-06 09:30:01"
11,NULL,IAGCVX,NULL,JAIDEL,,,,0,0,0,0,0,0,,"2026-08-06 09:30:03"
12,NULL,WSSNHF,NULL,DCAI,,,,0,0,0,0,0,0,,"2026-08-06 09:30:04"
13,NULL,NNRZKF,NULL,MAAAUH,,,,0,0,0,0,0,0,,"2026-08-06 09:30:06"
14,NULL,MVNERC,NULL,MSTR,,,,0,0,0,0,0,0,,"2026-08-06 09:30:07"
15,NULL,DGIOSD,NULL,DCAI,,,,0,0,0,0,0,0,,"2026-08-06 09:30:09"
16,NULL,AMVCDU,NULL,COKDEL,,,,0,0,0,0,0,0,,"2026-08-06 09:30:10"
